file,a,t1,t2,annotation,tier,tier_type,participant,annotator,ref,parent_tier,start,end,duration
file_002,a2873,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a617,gloss_RH_S2,NA,NA,NA
file_002,a2874,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a618,gloss_RH_S2,NA,NA,NA
file_002,a2875,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a620,gloss_RH_S2,NA,NA,NA
file_002,a2876,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a621,gloss_RH_S2,NA,NA,NA
file_002,a2877,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a622,gloss_RH_S2,NA,NA,NA
file_002,a2878,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a625,gloss_RH_S2,NA,NA,NA
file_002,a2879,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a626,gloss_RH_S2,NA,NA,NA
file_002,a2880,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a627,gloss_RH_S2,NA,NA,NA
file_002,a2881,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a628,gloss_RH_S2,NA,NA,NA
file_002,a2882,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a629,gloss_RH_S2,NA,NA,NA
file_002,a2883,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a630,gloss_RH_S2,NA,NA,NA
file_002,a2884,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a631,gloss_RH_S2,NA,NA,NA
file_002,a2885,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a633,gloss_RH_S2,NA,NA,NA
file_002,a2886,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a634,gloss_RH_S2,NA,NA,NA
file_002,a2887,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a635,gloss_RH_S2,NA,NA,NA
file_002,a2888,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a636,gloss_RH_S2,NA,NA,NA
file_002,a2889,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a637,gloss_RH_S2,NA,NA,NA
file_002,a2890,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a638,gloss_RH_S2,NA,NA,NA
file_002,a2891,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a639,gloss_RH_S2,NA,NA,NA
file_002,a2892,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a640,gloss_RH_S2,NA,NA,NA
file_002,a2893,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a641,gloss_RH_S2,NA,NA,NA
file_002,a2894,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a642,gloss_RH_S2,NA,NA,NA
file_002,a2895,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a643,gloss_RH_S2,NA,NA,NA
file_002,a2896,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a644,gloss_RH_S2,NA,NA,NA
file_002,a2897,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a645,gloss_RH_S2,NA,NA,NA
file_002,a2898,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a646,gloss_RH_S2,NA,NA,NA
file_002,a2899,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a647,gloss_RH_S2,NA,NA,NA
file_002,a2900,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a648,gloss_RH_S2,NA,NA,NA
file_002,a2901,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a649,gloss_RH_S2,NA,NA,NA
file_002,a2902,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a650,gloss_RH_S2,NA,NA,NA
file_002,a2903,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a651,gloss_RH_S2,NA,NA,NA
file_002,a2904,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a652,gloss_RH_S2,NA,NA,NA
file_002,a2905,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a653,gloss_RH_S2,NA,NA,NA
file_002,a2906,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a654,gloss_RH_S2,NA,NA,NA
file_002,a2907,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a655,gloss_RH_S2,NA,NA,NA
file_002,a2908,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a656,gloss_RH_S2,NA,NA,NA
file_002,a2909,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a657,gloss_RH_S2,NA,NA,NA
file_002,a2910,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a658,gloss_RH_S2,NA,NA,NA
